timestamp_s,sample_id,road_condition_index,ground_truth_road_event,ground_truth_motor_abnormal
0.0,0,0.0,0,0
0.001,1,0.0,0,0
0.002,2,0.0,0,0
0.003,3,0.0,0,0
0.004,4,0.0,0,0
0.005,5,0.0,0,0
0.006,6,0.0,0,0
0.007,7,0.0,0,0
0.008,8,0.0,0,0
0.009,9,0.0,0,0
0.01,10,0.0,0,0
0.011,11,0.0,0,0
0.012,12,0.0,0,0
0.013,13,0.0,0,0
0.014,14,0.0,0,0
0.015,15,0.0,0,0
0.016,16,0.0,0,0
0.017,17,0.0,0,0
0.018,18,0.0,0,0
0.019,19,0.0,0,0
0.02,20,0.0,0,0
0.021,21,0.0,0,0
0.022,22,0.0,0,0
0.023,23,0.0,0,0
0.024,24,0.0,0,0
0.025,25,0.0,0,0
0.026,26,0.0,0,0
0.027,27,0.0,0,0
0.028,28,0.0,0,0
0.029,29,0.0,0,0
0.03,30,0.0,0,0
0.031,31,0.0,0,0
0.032,32,0.0,0,0
0.033,33,0.0,0,0
0.034,34,0.0,0,0
0.035,35,0.0,0,0
0.036,36,0.0,0,0
0.037,37,0.0,0,0
0.038,38,0.0,0,0
0.039,39,0.0,0,0
0.04,40,0.0,0,0
0.041,41,0.0,0,0
0.042,42,0.0,0,0
0.043,43,0.0,0,0
0.044,44,0.0,0,0
0.045,45,0.0,0,0
0.046,46,0.0,0,0
0.047,47,0.0,0,0
0.048,48,0.0,0,0
0.049,49,0.0,0,0
0.05,50,0.0,0,0
0.051,51,0.0,0,0
0.052,52,0.0,0,0
0.053,53,0.0,0,0
0.054,54,0.0,0,0
0.055,55,0.0,0,0
0.056,56,0.0,0,0
0.057,57,0.0,0,0
0.058,58,0.0,0,0
0.059,59,0.0,0,0
0.06,60,0.0,0,0
0.061,61,0.0,0,0
0.062,62,0.0,0,0
0.063,63,0.0,0,0
0.064,64,0.0,0,0
0.065,65,0.0,0,0
0.066,66,0.0,0,0
0.067,67,0.0,0,0
0.068,68,0.0,0,0
0.069,69,0.0,0,0
0.07,70,0.0,0,0
0.071,71,0.0,0,0
0.072,72,0.0,0,0
0.073,73,0.0,0,0
0.074,74,0.0,0,0
0.075,75,0.0,0,0
0.076,76,0.0,0,0
0.077,77,0.0,0,0
0.078,78,0.0,0,0
0.079,79,0.0,0,0
0.08,80,0.0,0,0
0.081,81,0.0,0,0
0.082,82,0.0,0,0
0.083,83,0.0,0,0
0.084,84,0.0,0,0
0.085,85,0.0,0,0
0.086,86,0.0,0,0
0.087,87,0.0,0,0
0.088,88,0.0,0,0
0.089,89,0.0,0,0
0.09,90,0.0,0,0
0.091,91,0.0,0,0
0.092,92,0.0,0,0
0.093,93,0.0,0,0
0.094,94,0.0,0,0
0.095,95,0.0,0,0
0.096,96,0.0,0,0
0.097,97,0.0,0,0
0.098,98,0.0,0,0
0.099,99,0.0,0,0
0.1,100,0.0,0,0
0.101,101,0.0,0,0
0.102,102,0.0,0,0
0.103,103,0.0,0,0
0.104,104,0.0,0,0
0.105,105,0.0,0,0
0.106,106,0.0,0,0
0.107,107,0.0,0,0
0.108,108,0.0,0,0
0.109,109,0.0,0,0
0.11,110,0.0,0,0
0.111,111,0.0,0,0
0.112,112,0.0,0,0
0.113,113,0.0,0,0
0.114,114,0.0,0,0
