timestamp_s,sample_id,dt_s,vehicle_speed_kmh,wheel_rotation_hz,estimated_motor_order_hz,road_condition_index,accel_vertical_mps2,accel_lateral_mps2,ground_truth_road_event,ground_truth_motor_abnormal
0.00000000,0,0.00100000,25.00000000,3.56529890,21.75000000,0.00000000,0.01131393,-0.00427833,0,0
0.00100000,1,0.00100000,25.00100000,3.56544152,21.75055000,0.00000000,0.02576578,-0.01004106,0,0
0.00200000,2,0.00100000,25.00200000,3.56558413,21.75110000,0.00000000,0.01992474,-0.00277815,0,0
0.00300000,3,0.00100000,25.00300000,3.56572674,21.75165000,0.00000000,0.01894792,-0.01243221,0,0
0.00400000,4,0.00100000,25.00400000,3.56586935,21.75220000,0.00000000,0.04473567,0.01844972,0,0
0.00500000,5,0.00100000,25.00500000,3.56601196,21.75275000,0.00000000,0.01971537,-0.00809237,0,0
0.00600000,6,0.00100000,25.00600000,3.56615458,21.75330000,0.00000000,0.03278706,-0.00655600,0,0
0.00700000,7,0.00100000,25.00700000,3.56629719,21.75385000,0.00000000,0.03012369,0.01214918,0,0
0.00800000,8,0.00100000,25.00800000,3.56643980,21.75440000,0.00000000,0.02742046,0.01089500,0,0
0.00900000,9,0.00100000,25.00900000,3.56658241,21.75495000,0.00000000,0.02653415,0.00989857,0,0
0.01000000,10,0.00100000,25.01000000,3.56672502,21.75550000,0.00000000,0.02847441,0.01670877,0,0
0.01100000,11,0.00100000,25.01100000,3.56686764,21.75605000,0.00000000,0.00979650,0.00073535,0,0
0.01200000,12,0.00100000,25.01200000,3.56701025,21.75660000,0.00000000,0.02610525,0.01165050,0,0
0.01300000,13,0.00100000,25.01300000,3.56715286,21.75715000,0.00000000,0.03162711,0.00054746,0,0
0.01400000,14,0.00100000,25.01400000,3.56729547,21.75770000,0.00000000,0.02591128,0.01388027,0,0
0.01500000,15,0.00100000,25.01500000,3.56743808,21.75825000,0.00000000,0.04173408,0.01663016,0,0
0.01600000,16,0.00100000,25.01600000,3.56758070,21.75880000,0.00000000,0.04841243,0.02523962,0,0
0.01700000,17,0.00100000,25.01700000,3.56772331,21.75935000,0.00000000,0.00893022,0.01404805,0,0
0.01800000,18,0.00100000,25.01800000,3.56786592,21.75990000,0.00000000,0.01425551,0.00427110,0,0
0.01900000,19,0.00100000,25.01900000,3.56800853,21.76045000,0.00000000,0.02384872,0.00159587,0,0
