timestamp_s,sample_id,dt_s,vehicle_speed_kmh,wheel_rotation_hz,estimated_motor_order_hz,accel_vertical_mps2,accel_lateral_mps2
0.00000000,0,0.00100000,25.00000000,3.56529890,21.75000000,0.01131393,-0.00427833
0.00100000,1,0.00100000,25.00100000,3.56544152,21.75055000,0.02576578,-0.01004106
0.00200000,2,0.00100000,25.00200000,3.56558413,21.75110000,0.01992474,-0.00277815
0.00300000,3,0.00100000,25.00300000,3.56572674,21.75165000,0.01894792,-0.01243221
0.00400000,4,0.00100000,25.00400000,3.56586935,21.75220000,0.04473567,0.01844972
0.00500000,5,0.00100000,25.00500000,3.56601196,21.75275000,0.01971537,-0.00809237
0.00600000,6,0.00100000,25.00600000,3.56615458,21.75330000,0.03278706,-0.00655600
0.00700000,7,0.00100000,25.00700000,3.56629719,21.75385000,0.03012369,0.01214918
0.00800000,8,0.00100000,25.00800000,3.56643980,21.75440000,0.02742046,0.01089500
0.00900000,9,0.00100000,25.00900000,3.56658241,21.75495000,0.02653415,0.00989857
0.01000000,10,0.00100000,25.01000000,3.56672502,21.75550000,0.02847441,0.01670877
0.01100000,11,0.00100000,25.01100000,3.56686764,21.75605000,0.00979650,0.00073535
0.01200000,12,0.00100000,25.01200000,3.56701025,21.75660000,0.02610525,0.01165050
0.01300000,13,0.00100000,25.01300000,3.56715286,21.75715000,0.03162711,0.00054746
0.01400000,14,0.00100000,25.01400000,3.56729547,21.75770000,0.02591128,0.01388027
0.01500000,15,0.00100000,25.01500000,3.56743808,21.75825000,0.04173408,0.01663016
0.01600000,16,0.00100000,25.01600000,3.56758070,21.75880000,0.04841243,0.02523962
0.01700000,17,0.00100000,25.01700000,3.56772331,21.75935000,0.00893022,0.01404805
0.01800000,18,0.00100000,25.01800000,3.56786592,21.75990000,0.01425551,0.00427110
0.01900000,19,0.00100000,25.01900000,3.56800853,21.76045000,0.02384872,0.00159587
0.02000000,20,0.00100000,25.02000000,3.56815114,21.76100000,0.02331773,-0.00081382
0.02100000,21,0.00100000,25.02100000,3.56829376,21.76155000,0.02925594,0.00580573
0.02200000,22,0.00100000,25.02200000,3.56843637,21.76210000,0.01413839,0.02185705
0.02300000,23,0.00100000,25.02300000,3.56857898,21.76265000,0.00355999,0.00707381
0.02400000,24,0.00100000,25.02400000,3.56872159,21.76320000,0.01090957,0.00435105
0.02500000,25,0.00100000,25.02500000,3.56886420,21.76375000,0.02170848,0.00942070
0.02600000,26,0.00100000,25.02600000,3.56900682,21.76430000,0.02012582,0.00569594
0.02700000,27,0.00100000,25.02700000,3.56914943,21.76485000,-0.00907484,0.00405545
0.02800000,28,0.00100000,25.02800000,3.56929204,21.76540000,-0.00880230,0.00989395
0.02900000,29,0.00100000,25.02900000,3.56943465,21.76595000,0.01607416,-0.00008803
0.03000000,30,0.00100000,25.03000000,3.56957726,21.76650000,0.00025532,-0.00477998
0.03100000,31,0.00100000,25.03100000,3.56971988,21.76705000,0.00659875,0.01311817
0.03200000,32,0.00100000,25.03200000,3.56986249,21.76760000,-0.00262573,0.01128606
0.03300000,33,0.00100000,25.03300000,3.57000510,21.76815000,-0.00934339,-0.00109262
0.03400000,34,0.00100000,25.03400000,3.57014771,21.76870000,0.02311522,-0.00491633
0.03500000,35,0.00100000,25.03500000,3.57029032,21.76925000,-0.00481156,0.00995050
0.03600000,36,0.00100000,25.03600000,3.57043293,21.76980000,-0.02958279,0.00550669
0.03700000,37,0.00100000,25.03700000,3.57057555,21.77035000,-0.01977546,-0.00032669
0.03800000,38,0.00100000,25.03800000,3.57071816,21.77090000,-0.02274950,0.01982144
0.03900000,39,0.00100000,25.03900000,3.57086077,21.77145000,-0.02448875,-0.00403147
0.04000000,40,0.00100000,25.04000000,3.57100338,21.77200000,-0.00316016,0.01192667
0.04100000,41,0.00100000,25.04100000,3.57114599,21.77255000,-0.00885613,0.01197072
0.04200000,42,0.00100000,25.04200000,3.57128861,21.77310000,0.00647914,0.02317292
0.04300000,43,0.00100000,25.04300000,3.57143122,21.77365000,-0.00448328,0.01367329
0.04400000,44,0.00100000,25.04400000,3.57157383,21.77420000,0.01853149,0.00836030
0.04500000,45,0.00100000,25.04500000,3.57171644,21.77475000,-0.00035557,0.00992558
0.04600000,46,0.00100000,25.04600000,3.57185905,21.77530000,0.04401104,0.00250769
0.04700000,47,0.00100000,25.04700000,3.57200167,21.77585000,0.04448574,0.01630745
0.04800000,48,0.00100000,25.04800000,3.57214428,21.77640000,0.03825480,0.00263213
0.04900000,49,0.00100000,25.04900000,3.57228689,21.77695000,0.03276841,0.01062225
0.05000000,50,0.00100000,25.05000000,3.57242950,21.77750000,0.01279105,0.02385485
0.05100000,51,0.00100000,25.05100000,3.57257211,21.77805000,0.02824785,0.01423843
0.05200000,52,0.00100000,25.05200000,3.57271473,21.77860000,0.04293310,0.01265307
0.05300000,53,0.00100000,25.05300000,3.57285734,21.77915000,0.04794242,0.00957152
0.05400000,54,0.00100000,25.05400000,3.57299995,21.77970000,0.01755095,0.01409469
0.05500000,55,0.00100000,25.05500000,3.57314256,21.78025000,0.02925983,0.00784409
0.05600000,56,0.00100000,25.05600000,3.57328517,21.78080000,0.01950262,0.00799185
0.05700000,57,0.00100000,25.05700000,3.57342779,21.78135000,0.01664755,0.01146450
0.05800000,58,0.00100000,25.05800000,3.57357040,21.78190000,0.03410580,0.00628532
0.05900000,59,0.00100000,25.05900000,3.57371301,21.78245000,0.00371592,0.01455378
0.06000000,60,0.00100000,25.06000000,3.57385562,21.78300000,0.02910355,0.01114067
0.06100000,61,0.00100000,25.06100000,3.57399823,21.78355000,0.04480202,0.00774173
0.06200000,62,0.00100000,25.06200000,3.57414085,21.78410000,0.03374383,0.01999767
0.06300000,63,0.00100000,25.06300000,3.57428346,21.78465000,0.02835566,0.02281229
0.06400000,64,0.00100000,25.06400000,3.57442607,21.78520000,0.03584130,0.02276392
0.06500000,65,0.00100000,25.06500000,3.57456868,21.78575000,0.01595850,-0.00230268
0.06600000,66,0.00100000,25.06600000,3.57471129,21.78630000,0.02021247,0.01411101
0.06700000,67,0.00100000,25.06700000,3.57485391,21.78685000,0.02461220,0.00156522
0.06800000,68,0.00100000,25.06800000,3.57499652,21.78740000,0.02339621,0.01816516
0.06900000,69,0.00100000,25.06900000,3.57513913,21.78795000,0.03158049,0.02084149
0.07000000,70,0.00100000,25.07000000,3.57528174,21.78850000,0.02463748,0.00393637
0.07100000,71,0.00100000,25.07100000,3.57542435,21.78905000,0.01390603,0.00526764
0.07200000,72,0.00100000,25.07200000,3.57556697,21.78960000,0.02643542,0.00551320
0.07300000,73,0.00100000,25.07300000,3.57570958,21.79015000,0.00870218,0.00683498
0.07400000,74,0.00100000,25.07400000,3.57585219,21.79070000,0.02054153,0.00527536
0.07500000,75,0.00100000,25.07500000,3.57599480,21.79125000,0.01747831,0.01917976
0.07600000,76,0.00100000,25.07600000,3.57613741,21.79180000,0.01290380,0.01943438
0.07700000,77,0.00100000,25.07700000,3.57628003,21.79235000,-0.00113301,0.00676521
0.07800000,78,0.00100000,25.07800000,3.57642264,21.79290000,0.00722366,0.01622252
0.07900000,79,0.00100000,25.07900000,3.57656525,21.79345000,-0.01614385,0.02951927
